@RELATION uploads/Austin/Austin
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,b}

@DATA
0.092040,0.033322,3.002130,0.220298,0.255970,0.679940,0.007240,0.127949,-24.620225,2.889498,-0.098184,-0.750905,-1.234426,0.378771,-0.551368,0.275218,-0.016071,-0.237746,-0.218223,0.235307,-0.173966,0.020712,0.004832,0.024372,0.018802,0.021707,0.018332,0.007700,0.000331,0.012335,0.009197,0.037098,0.020414,0.023183,0.101818,0.019712,0.415325,0.069731,0.023833,0.466540,0.005801,0.153709,1.560970,0.375896,0.524244,0.406813,0.326644,0.470398,0.417781,0.352235,0.149451,0.272318,0.164992,0.206636,0.187117,0.015480,0.005125,0.025107,0.022285,0.016313,0.017673,0.007325,0.000295,0.023354,0.015036,0.055072,0.029852,0.009917,a
0.083938,0.041153,2.912731,0.194639,0.240759,0.561351,0.007163,0.088022,-24.203820,2.827324,-0.177862,-1.083737,-1.119112,0.433169,-0.479273,0.403627,-0.192865,-0.266241,-0.293528,0.152404,-0.145308,0.014833,0.007368,0.030032,0.027482,0.029520,0.010486,0.010897,0.001191,0.009050,0.007307,0.024899,0.014492,0.021174,0.114924,0.026013,0.666312,0.061011,0.037565,0.345261,0.004023,0.072791,1.862089,0.733999,0.598398,0.403393,0.342548,0.430229,0.335485,0.259839,0.174866,0.177415,0.199087,0.187510,0.271204,0.019161,0.007249,0.030694,0.024810,0.034939,0.008545,0.010157,0.001024,0.015495,0.010063,0.034096,0.018071,0.007590,a
0.050084,0.059738,2.907768,0.121145,0.209072,0.092091,0.020143,0.019824,-25.730088,3.422576,0.304203,-0.662078,-0.917934,-0.168638,-0.186584,0.322908,-0.198382,0.257851,-0.381873,0.174731,-0.180104,0.033844,0.032590,0.037938,0.047337,0.016417,0.008238,0.004683,0.000543,0.001863,0.025066,0.017476,0.025184,0.036801,0.100351,0.062708,0.517897,0.033615,0.033463,0.046277,0.015156,0.003140,2.562837,0.526934,0.714595,0.613902,0.401615,0.306815,0.299943,0.280213,0.182073,0.278049,0.158993,0.149162,0.170223,0.052626,0.055397,0.044387,0.049466,0.012820,0.006884,0.003305,0.000988,0.002203,0.035769,0.035270,0.049028,0.011673,a
0.131478,0.045036,3.148836,0.279593,0.281397,0.883425,0.006672,0.213551,-25.502200,2.724569,0.218575,-0.762006,-0.961091,0.392516,-0.518610,0.199002,-0.025154,-0.118126,-0.201098,0.229785,-0.180415,0.007494,0.001623,0.024552,0.026314,0.043258,0.010269,0.006544,0.000785,0.010104,0.014097,0.023506,0.014692,0.022248,0.158457,0.025600,0.185149,0.105564,0.019809,0.739170,0.005102,0.272685,4.519492,1.106791,0.632257,0.575815,0.439499,0.548308,0.247137,0.286277,0.190408,0.145500,0.342011,0.259538,0.189595,0.004657,0.000945,0.034505,0.030786,0.037895,0.012944,0.004753,0.000608,0.018506,0.017934,0.024730,0.016356,0.007660,a
0.113090,0.050574,3.061480,0.188807,0.227228,0.447050,0.013198,0.103221,-25.943660,2.998723,0.052303,-0.897972,-0.947389,0.162486,-0.222904,0.192343,-0.255250,0.220312,-0.250303,0.322479,-0.083941,0.024801,0.021938,0.019140,0.021792,0.013222,0.030050,0.007591,0.000817,0.020051,0.015605,0.012777,0.016959,0.026730,0.186945,0.040266,0.296398,0.137565,0.040497,0.671354,0.008327,0.261407,4.586066,1.041952,0.820675,0.491069,0.505189,0.494868,0.228906,0.306721,0.167573,0.251500,0.218204,0.241949,0.240393,0.037848,0.038034,0.025874,0.023163,0.013459,0.038474,0.005175,0.000865,0.040644,0.021433,0.023575,0.038385,0.011640,a
0.115434,0.050447,3.046520,0.216103,0.251676,0.558017,0.010552,0.121597,-25.990023,2.749579,-0.139518,-0.642263,-0.907531,0.247981,-0.303607,0.165518,0.020374,0.118187,-0.082839,0.118626,-0.135814,0.026525,0.016534,0.024398,0.018059,0.015674,0.006099,0.016531,0.001154,0.014710,0.013034,0.010474,0.013118,0.023003,0.180991,0.047062,0.335839,0.125260,0.030545,0.685356,0.007513,0.257620,4.903170,0.990359,0.817082,0.581776,0.385310,0.525459,0.145531,0.282819,0.241223,0.229937,0.199455,0.251767,0.187555,0.049847,0.036573,0.031337,0.025709,0.019136,0.006447,0.020310,0.001521,0.027551,0.015011,0.016172,0.023328,0.012145,a
0.130078,0.044219,3.019353,0.219219,0.245603,0.706333,0.009084,0.164317,-25.998186,2.725287,-0.321111,-0.869093,-1.026001,0.334878,-0.297170,0.198691,0.031327,0.091608,-0.015530,0.198536,-0.065013,0.026322,0.016396,0.014075,0.012348,0.011115,0.011023,0.012035,0.001357,0.021082,0.006385,0.016742,0.011624,0.018824,0.187989,0.033251,0.408504,0.128024,0.035864,0.594687,0.006915,0.244090,4.722437,1.087761,0.909248,0.535742,0.531991,0.508719,0.281372,0.284469,0.227705,0.272231,0.217804,0.139396,0.231812,0.031587,0.019298,0.019699,0.017131,0.013120,0.013363,0.009272,0.001478,0.042507,0.007790,0.026869,0.017657,0.009764,a
0.055005,0.054994,2.983829,0.158610,0.224079,0.373099,0.008982,0.042929,-24.933116,3.156588,-0.160860,-0.968471,-1.255581,0.388681,-0.393019,0.251211,-0.168636,-0.009045,-0.287569,0.159618,-0.276435,0.024339,0.028758,0.021595,0.024636,0.023085,0.019747,0.010619,0.000582,0.013983,0.006759,0.016026,0.013253,0.025113,0.058915,0.039477,0.501919,0.042222,0.043742,0.204415,0.005024,0.047487,2.416806,0.645588,0.724187,0.499131,0.371832,0.575875,0.323744,0.269206,0.190305,0.232871,0.172903,0.236278,0.342866,0.029521,0.035944,0.021105,0.029986,0.025103,0.032165,0.009281,0.000425,0.029582,0.008482,0.028577,0.016728,0.005540,a
0.064987,0.034987,2.978071,0.156894,0.221278,0.376286,0.013881,0.039997,-25.961288,3.245871,0.091834,-1.196119,-1.038807,0.452223,-0.537702,0.179478,-0.061215,-0.132943,-0.325347,0.233018,-0.198845,0.035951,0.022676,0.025323,0.020612,0.018015,0.023703,0.007940,0.000556,0.020666,0.005238,0.012293,0.019209,0.030149,0.077204,0.031830,0.529974,0.027766,0.021832,0.158694,0.010167,0.046559,2.460450,0.652376,0.829748,0.417129,0.456870,0.643328,0.288433,0.203690,0.243067,0.245301,0.197723,0.221234,0.303513,0.051531,0.037507,0.029742,0.027564,0.017676,0.032193,0.007049,0.000520,0.042526,0.006680,0.024570,0.042744,0.010873,a
0.098457,0.035471,2.880595,0.221947,0.256964,0.829736,0.006723,0.171884,-25.340850,3.003656,-0.657342,-1.037071,-1.009658,0.657517,-0.198226,0.217828,-0.023222,-0.102266,-0.244314,0.180248,-0.154521,0.018093,0.014004,0.019968,0.018906,0.023316,0.014338,0.011371,0.002468,0.010662,0.006351,0.009542,0.011103,0.018639,0.090721,0.025813,0.840291,0.043709,0.028809,0.191855,0.003416,0.046953,2.459203,0.691688,0.860758,0.431919,0.290947,0.481828,0.270721,0.222223,0.278097,0.175604,0.244552,0.102380,0.391550,0.025945,0.019284,0.023455,0.019494,0.027285,0.018159,0.008371,0.003621,0.027387,0.005893,0.014522,0.022581,0.007567,a
